brake_pedal; 0.0, 0.022837319; 0.053777777, 0.022837319; 0.107555555, 0.022837319; 0.161333332, 0.022837319; 0.21511111, 0.022837319; 0.268888887, 0.022837319; 0.322666665, 0.022837319; 0.376444442, 0.022837319; 0.43022222, 0.022837319; 0.483999997, 0.022837319
twist.linear.x; 0.0, 0.46550252; 1.09617467, 0.46550252; 2.19234933, 0.46550252; 3.288524, 0.46550252; 4.38469866, 0.46550252; 5.48087333, 0.46550252; 6.57704799, 0.46550252; 7.67322266, 0.46550252; 8.76939732, 0.46550252; 9.86557199, 0.46550252
twist.angular.z; -0.054435908, 0.02456494; 0.003410104, 0.02456494; 0.061256117, 0.02456494; 0.119102129, 0.02456494; 0.176948142, 0.02456494; 0.234794154, 0.02456494; 0.292640166, 0.02456494; 0.350486179, 0.02456494; 0.408332191, 0.02456494; 0.466178204, 0.02456494
status.satellites_used; 9.0, 0.4246609; 10.0, 0.4246609; 11.0, 0.4246609; 12.0, 0.4246609; 13.0, 0.4246609; 14.0, 0.4246609; 15.0, 0.4246609
status.satellites_visible; 9.0, 0.4246609; 10.0, 0.4246609; 11.0, 0.4246609; 12.0, 0.4246609; 13.0, 0.4246609; 14.0, 0.4246609; 15.0, 0.4246609; 16.0, 0.4246609; 17.0, 0.4246609; 18.0, 0.4246609
latitude; 60.1867782, 0.0001236; 60.1870694, 0.0001236; 60.1873605, 0.0001236; 60.1876517, 0.0001236; 60.1879428, 0.0001236; 60.188234, 0.0001236; 60.1885251, 0.0001236; 60.1888163, 0.0001236; 60.1891074, 0.0001236; 60.1893986, 0.0001236
longitude; 24.8232926, 0.0002676; 24.8239227, 0.0002676; 24.8245528, 0.0002676; 24.8251829, 0.0002676; 24.825813, 0.0002676; 24.8264431, 0.0002676; 24.8270732, 0.0002676; 24.8277034, 0.0002676; 24.8283335, 0.0002676; 24.8289636, 0.0002676
altitude; 3.06825558, 0.26185915; 3.68488677, 0.26185915; 4.30151795, 0.26185915; 4.91814914, 0.26185915; 5.53478032, 0.26185915; 6.1514115, 0.26185915; 6.76804269, 0.26185915; 7.38467387, 0.26185915; 8.00130505, 0.26185915; 8.61793624, 0.26185915
track; -179.881374, 16.962803; -139.937025, 16.962803; -99.992677, 16.962803; -60.048329, 16.962803; -20.10398, 16.962803; 19.840368, 16.962803; 59.784716, 16.962803; 99.729065, 16.962803; 139.673413, 16.962803; 179.617762, 16.962803
speed; 0.03942669, 0.46276698; 1.12915966, 0.46276698; 2.21889262, 0.46276698; 3.30862559, 0.46276698; 4.39835855, 0.46276698; 5.48809151, 0.46276698; 6.57782448, 0.46276698; 7.66755744, 0.46276698; 8.75729041, 0.46276698; 9.84702337, 0.46276698
climb; -0.502256753, 0.044361053; -0.397794455, 0.044361053; -0.293332158, 0.044361053; -0.188869861, 0.044361053; -0.084407564, 0.044361053; 0.020054734, 0.044361053; 0.124517031, 0.044361053; 0.228979328, 0.044361053; 0.333441625, 0.044361053; 0.437903923, 0.044361053
