Variable 1; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 2; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 3; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 4; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 5; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 6; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 7; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 8; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 9; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 10; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 11; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 12; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 13; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 14; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 15; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 16; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 17; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 18; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 19; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 20; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 21; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 22; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 23; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 24; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 25; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 26; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 27; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 28; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 29; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 30; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 31; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 32; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 33; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 34; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 35; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 36; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 37; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 38; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 39; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 40; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 41; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 42; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 43; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 44; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 45; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 46; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 47; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 48; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 49; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 50; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 51; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 52; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 53; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 54; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 55; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 56; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 57; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 58; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 59; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 60; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 61; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 62; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 63; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 64; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 65; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 66; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 67; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 68; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 69; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 70; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 71; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 72; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 73; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 74; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 75; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 76; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 77; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 78; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 79; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 80; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 81; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 82; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 83; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 84; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 85; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 86; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 87; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 88; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 89; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 90; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 91; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 92; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 93; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 94; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 95; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 96; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 97; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 98; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 99; 0, 0.2; 0.5, 0.2; 1, 0.2
Variable 100; 0, 0.2; 0.5, 0.2; 1, 0.2
